#Cena;Verdura, aguacate y burger;Verdura:::Aguacate:0.5::Burger:120:g
#Cena;Burger vegetal, champiñones, espárragos y queso crema;Burger veget.:120:g:Champiñones:250:g:Espárragos tr.:::Queso crema:50:g
#Cena;Fajita fit;Huevo:1::Claras:50:ml:Copos avena:20:g:Especias:::Pollo:80:g:Champiñones:::Cebolla:::Pimiento::
#Cena;Ensalada de queso fresco, salmón y manzana;Lechuga:::Tomate:::Queso fresco:1::Salmón ahum.:130:g:Pepino:::Manzana:1:
#Cena;Revuelto de huevo, verdura y aguacate;Huevo:1::Claras:90:ml:Verdura:::Aguacate:0.5:
#Cena;Pescado y verdura;Verdura:::Pescado:120:g
#Cena;Revuelto de huevo, gambitas y champiñones. Verdura;Huevo:1::Claras:100:ml:Gambitas:30:g:Champiñones:::Especias:::Verdura::
#Cena;Ensalada con hummus, salmón y fruta;Lechuga:::Tomates cherry:::Salmón ahum.:120:g:Hummus:60:g:Pepino:::Fruta:1:
#Cena;Ensalada de palitos de cangrejo;Lechuga:::Palitos cangrejo:2::Huevo:2::Zanahoria:::Fruta:1::Tomate::
#Cena;Verdura, burger y queso crema;Verdura:::Burger:120:g:Queso crema:40:g
Cena;Gazpacho, verdura, burger y aguacate;Gazpacho:250:ml:Verdura:::Burger:120:g:Aguacate:0.5:
Cena;Ensalada de remolacha, huevo cocido, caballa, aguacate y fruta;Lechuga:::Fruta:1::Caballa:80:g:Huevo:1::Aguacate:0.5::Remolacha::
Cena;Ensalada de remolacha, huevo cocido, atún, aguacate y fruta;Lechuga:::Fruta:1::Atún:1:lata:Huevo:1::Aguacate:0.5::Remolacha::
Cena;Ensalada de remolacha, aguacate y fruta. Pescado;Lechuga:::Fruta:1::Aguacate:0.5::Remolacha:::Pescado:140:g
#Cena;Ensalada de endivias, queso cottage, pollo, espárragos y palmitos;Endivias:::Queso Cottage:50:g:Pollo:100:g:Espárragos bl.:::Palmitos:::Tomates cherry::
#Cena;Salteado de pimientos y champiñones. Pavo y aguacate;Pimiento:::Champiñones:::Pavo:120:g:Aguacate:0.5:
#Cena;Pescado, verdura y frutos secos;Pescado:140:g:Verdura:::Frutos secos:15:g
#Cena;Pizza-tortilla;Huevo:1::Claras:80:ml:Especias:::Tomate tami.:2:cuch.:Queso crema:30:g:Tomates cherry:::Atún:1:lata
#Cena;Ensalada con anacardos, atún y hummus;Canonigos:::Tomates:::Aguacate:0.5::Anacardos:10:g:Atún:2:lata:Hummus:40:g
#Cena;Salteado de brócoli, tomate y champiñones. Pescado;Brócoli:::Tomates cherry:::Champiñones:::Pescado:140:g
#Cena;Ensalada con pollo, melón y nueces;Lechuga:::Zanahoria:::Pollo:120:g:Melón:1::Nueces:10:g
Cena;Ensalada de endivias, hummus, pollo, y aguacate;Endivias:::Hummus:40:g:Pollo:120:g:Espárragos bl.:::Pepino:::Aguacate:0.5::Tomates cherry::
Cena;Ensalada con hummus, aguacate y fruta. Pescado;Lechuga:::Aguacate:0.5::Espárragos bl.:::Hummus:40:g:Tomates cherry:::Fruta:1::Pescado:140:g
